ID_Analysis	Group	CAT_sum	ANI_sum	Ca_epm	Mg_epm	NaK_epm	HCO3CO3_epm	SO4_epm	CL_epm
539	2	12.792	8.366	54.612	19.301	26.087	26.644	45.039	28.317
540	2	6.527	6.083	77.218	16.393	6.389	43.646	48.94	7.414
541	2	6.941	5.929	76.934	13.038	10.027	68.831	14.05	17.119
542	2	18.068	16.943	30.933	42.357	26.71	35.212	31.824	32.963
543	2	25.016	23.147	35.905	17.765	46.33	24.923	21.947	53.13
544	2	15.769	16.182	67.087	30.268	2.644	24.713	71.277	4.011
545	2	13.617	13.341	41.044	35.654	23.302	44.225	28.716	27.059
546	2	6.481	5.79	42.355	31.739	25.906	73.454	15.82	10.725
547	2	5.492	4.808	9.996	13.492	76.511	64.559	12.562	22.879
548	2	6.433	6.68	74.475	21.747	3.777	88.323	8.728	2.949
549	2	8.349	7.777	60.965	33.513	5.522	87.244	8.037	4.719
550	2	8.368	7.343	69.18	22.622	8.198	57.429	28.354	14.218
551	2	12.676	11.911	44.486	29.86	25.655	29.032	48.946	22.022
552	2	13.858	12.046	59.056	23.755	17.189	50.066	32.841	17.093
553	2	10.937	8.47	52.93	24.824	22.246	45.089	17.946	36.966
554	2	7.301	6.797	38.282	41.707	20.011	47.815	38.9	13.285
555	2	7.311	6.697	49.829	48.393	1.778	95.924	1.553	2.524
556	2	3.502	3.671	88.35	4.712	6.939	91.065	5.094	3.841
557	2	6.579	6.25	51.573	38.775	9.652	75.808	10.656	13.536
558	2	6.563	6.379	58.556	23.815	17.629	69.117	11.428	19.454
559	2	5.694	5.473	68.353	28.908	2.74	73.963	22.437	3.599
560	2	6.259	6.457	71.753	23.662	4.585	54.576	40.623	4.801
561	2	29.872	27.881	74.508	15.978	9.514	18.575	70.195	11.23
562	2	12.284	11.034	30.471	29.477	40.052	52.583	3.96	43.457
563	2	5.536	5.607	26.138	68.371	5.491	93.508	2.978	3.513
564	2	5.12	4.296	64.336	16.074	19.59	73.627	14.548	11.825
565	2	1.345	1.475	37.1	30.558	32.342	60.0	11.322	28.678
566	2	2.394	1.858	52.13	20.635	27.235	28.202	45.963	25.834
567	2	10.101	8.312	44.956	26.879	28.166	55.402	6.256	38.342
568	2	21.12	19.543	43.239	26.496	30.265	32.579	43.893	23.528
569	2	4.67	4.355	86.552	8.801	4.647	91.825	4.294	3.881
570	2	9.922	10.593	38.732	41.463	19.804	35.429	45.398	19.173
571	2	17.347	15.487	24.742	20.874	54.384	30.161	11.558	58.281
572	2	14.511	13.026	52.96	32.32	14.72	60.894	25.894	13.212
573	2	15.3	14.559	17.288	26.353	56.359	31.293	25.311	43.396
574	2	10.596	9.939	42.384	48.924	8.692	63.316	8.592	28.091
575	2	6.153	5.643	57.582	32.098	10.32	72.834	12.174	14.992
576	2	1.296	1.219	30.787	31.713	37.5	67.186	11.977	20.837
577	2	4.506	4.192	66.445	31.047	2.508	87.19	9.447	3.364
578	2	0.413	0.436	36.32	19.855	43.826	33.945	14.22	51.835
579	2	8.779	7.426	35.243	28.124	36.633	58.268	3.367	38.365
580	2	4.214	4.032	59.207	37.091	3.702	89.435	5.68	4.886
581	2	4.016	3.695	77.042	18.451	4.507	89.608	5.061	5.332
582	2	4.168	3.941	62.26	33.565	4.175	91.068	1.066	7.866
583	2	5.381	5.132	35.235	36.703	28.062	70.265	4.462	25.273
584	2	14.624	13.446	33.103	16.316	50.581	36.568	31.124	32.307
585	2	9.431	8.491	62.963	27.919	9.119	37.44	44.624	17.937
586	2	7.375	5.516	75.105	11.159	13.736	77.248	7.922	14.83
587	2	6.8	6.617	77.059	14.515	8.426	69.639	20.13	10.231
588	2	12.931	11.121	68.695	13.363	17.941	48.044	25.834	26.122
589	2	10.246	10.02	45.296	28.909	25.795	53.972	13.094	32.934
590	2	18.258	17.062	54.119	25.687	20.194	31.89	46.126	21.985
591	2	8.753	8.291	42.762	47.001	10.236	68.496	13.81	17.694
592	2	10.737	9.511	57.632	23.759	18.609	56.692	31.742	11.566
593	2	17.759	16.399	42.148	30.582	27.271	19.885	55.863	24.251
594	2	15.679	8.891	4.777	86.071	9.152	44.978	25.52	29.502
595	2	12.36	11.456	44.409	39.28	16.311	64.953	25.445	9.602
596	2	29.355	30.891	30.598	25.788	43.614	17.507	31.543	50.95
597	2	7.707	7.742	29.142	37.369	33.489	45.298	30.651	24.051
598	2	5.169	5.073	65.641	31.844	2.515	91.741	4.928	3.331
599	2	4.522	4.711	46.351	47.302	6.347	82.615	8.406	8.979
600	2	4.797	3.916	52.012	17.157	30.832	58.58	1.073	40.347
601	2	20.662	18.036	52.894	27.877	19.229	28.626	47.444	23.93
602	2	5.838	5.444	68.38	7.04	24.58	50.882	6.117	43.001
603	2	5.675	5.181	66.837	23.207	9.956	88.882	2.413	8.705
604	2	24.535	23.123	44.137	30.52	25.343	13.324	58.254	28.422
605	2	26.2	21.672	32.0	26.069	41.931	19.057	45.15	35.793
606	2	11.982	11.509	59.556	39.142	1.302	40.872	57.164	1.964
607	2	6.965	6.811	61.622	34.257	4.121	74.835	18.955	6.211
